rodada,id,origem,categoria,pergunta,acc_t,f_resp,r_ctx,retentativa,retry_inferido,guarda_recuperou,aviso_fidelidade,latencia_total_s,motivos
rodada_1,P01,v1,saude_geral,Como está a saúde da máquina virtual do site?,PASS,PASS,,False,False,,,77.187,
rodada_1,P02,v1,saude_geral,Como está a saúde dos containers dele?,PASS,PASS,PASS,True,False,,,131.989,
rodada_1,P03,v1,saude_geral,Como está a saúde da VM de testes?,PASS,PASS,,False,False,,,83.106,
rodada_1,P04,v1,saude_geral,E os containers?,PASS,PASS,PASS,True,False,,,317.521,
rodada_1,P05,v1,saude_geral,Como está a saúde dos containers da MV do site?,FAIL,REVISAR,,False,False,,,86.966,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_1,P06,v1,saude_geral,Como está a saúde dos containers da MV de testes?,FAIL,REVISAR,,False,False,,,32.912,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_1,P07,v1,recursos_vm,Como está o uso de CPU da máquina do site?,PASS,PASS,,False,False,,,37.602,
rodada_1,P08,v1,recursos_vm,Como está o uso de memória da máquina do site?,PASS,PASS,,True,False,,,55.722,
rodada_1,P09,v1,recursos_vm,Como está o uso de disco da máquina do site?,PASS,PASS,,False,False,,,37.517,
rodada_1,P10,v1,recursos_vm,Como está o uso de rede da máquina do site?,PASS,PASS,,True,False,,,62.092,
rodada_1,P11,v1,recursos_vm,Como está o uso de CPU da máquina de testes?,PASS,PASS,,False,False,,,37.764,
rodada_1,P12,v1,recursos_vm,Como está o uso de memória da máquina de testes?,PASS,PASS,,True,False,,,58.632,
rodada_1,P13,v1,recursos_vm,Como está o uso de disco da máquina de testes?,PASS,PASS,,False,False,,,41.307,
rodada_1,P14,v1,recursos_vm,Como está o uso de rede da máquina de testes?,PASS,PASS,,True,False,,,66.675,
rodada_1,P15,v1,containers,Quais containers mais usam CPU no site?,PASS,PASS,,False,False,,,74.908,
rodada_1,P16,v1,containers,Quais containers mais usam CPU em testes?,FAIL,FAIL,,False,False,,,9.357,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma) | nenhuma ferramenta executada
rodada_1,P17,v1,contexto,Quais containers mais usam memória?,FAIL,REVISAR,FAIL,False,False,,,35.214,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar | alvo herdado esperado 'testes', usado: ['site']"
rodada_1,P18,v1,containers,Quais containers mais usam memória em testes?,PASS,PASS,,False,False,,,156.247,
rodada_1,P19,v1,containers,Há containers inativos no site?,PASS,PASS,,True,False,,,45.351,
rodada_1,P20,v1,containers,Há containers inativos em testes?,PASS,PASS,,False,False,,,32.692,
rodada_1,P21,v1,containers,Como está o container API no site?,PASS,REVISAR,,False,False,,,30.905,ausencia nao declarada explicitamente; auditar resposta
rodada_1,P22,v1,containers,Como está o container Kafka em testes?,PASS,REVISAR,,False,False,,,38.903,resposta sem valores numericos em pergunta de dados; auditar
rodada_1,P23,v1,containers,Como está o container Redis em testes?,FAIL,FAIL,,False,False,,,9.671,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma) | nenhuma ferramenta executada
rodada_1,P24,v1,anomalias,Há alguma anomalia na máquina do site?,PASS,PASS,,False,False,,,32.827,
rodada_1,P25,v1,contexto,E em testes?,FAIL,FAIL,FAIL,False,False,,,9.251,"chamada esperada nao satisfeita: ['tool_detectar_anomalias'] (executadas: nenhuma) | nenhuma ferramenta executada | alvo herdado esperado 'testes', usado: nenhum"
rodada_1,P26,v1,anomalias,Há alguma anomalia na máquina de testes?,PASS,PASS,,False,False,,,33.714,
rodada_1,P27,v1,contexto,E no site?,FAIL,FAIL,FAIL,False,False,,,9.488,"chamada esperada nao satisfeita: ['tool_detectar_anomalias'] (executadas: nenhuma) | nenhuma ferramenta executada | alvo herdado esperado 'site', usado: nenhum"
rodada_1,P28,v1,anomalias,Existe algum problema de rede na VM do site?,PASS,REVISAR,,False,False,,,32.495,resposta sem valores numericos em pergunta de dados; auditar
rodada_1,P29,v1,anomalias,Existe algum problema de rede na VM de testes?,FAIL,FAIL,,False,False,,,21.54,"chamada esperada nao satisfeita: [['tool_obter_saude_vm', 'tool_detectar_anomalias']] (executadas: nenhuma) | nenhuma ferramenta executada"
rodada_1,P30,v1,contexto,Qual ambiente você está analisando agora?,PASS,PASS,,,,,,11.157,
rodada_1,A01,v2,anti_reciclagem,Como está a saúde da vm do site?,PASS,PASS,,False,False,,,78.978,
rodada_1,A02,v2,anti_reciclagem,Como está a saúde da vm de testes?,PASS,PASS,PASS,True,False,,,98.799,
rodada_1,A03,v2,anti_reciclagem,Como está a saúde da vm de testes?,PASS,PASS,PASS,False,False,,,80.359,
rodada_1,A04,v2,anti_reciclagem,"E agora, como está a memória dela?",PASS,PASS,PASS,False,False,,,42.692,
rodada_1,A05,v2,anti_reciclagem,Quais containers mais usam memória em testes?,PASS,PASS,,False,False,,,186.824,
rodada_1,A06,v2,anti_reciclagem,E no site?,FAIL,PASS,FAIL,True,False,,,95.464,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_vm']) | alvo herdado esperado 'site', usado: ['site']"
rodada_1,A07,v2,anti_reciclagem,Como está a CPU da vm do site?,PASS,PASS,,False,False,,,36.693,
rodada_1,A08,v2,anti_reciclagem,Repita a verificação de CPU do site.,PASS,PASS,PASS,False,False,,,36.02,
rodada_1,B01,v2,fora_de_escopo,Qual a previsão do tempo para hoje?,PASS,PASS,,,,,,13.31,
rodada_1,B02,v2,fora_de_escopo,Quantos usuários acessaram o site hoje?,PASS,PASS,,,,,,29.789,
rodada_1,B03,v2,fora_de_escopo,Reinicie o container c2ai-redis em testes.,PASS,PASS,,,,,,30.22,
rodada_1,B04,v2,fora_de_escopo,Apague os dados antigos do Prometheus.,PASS,PASS,,,,,,48.549,
rodada_1,B05,v2,fora_de_escopo,Como estava a CPU do site na semana passada?,PASS,REVISAR,,,,,,45.556,rota tolerada: chamou ['tool_obter_saude_vm'] em pergunta de recusa; conferir se o limite foi comunicado na resposta | respondeu metricas da janela permitida em pergunta fora do limite; auditar se a resposta comunica a restricao de janela
rodada_1,B06,v2,fora_de_escopo,Qual o custo mensal dessa infraestrutura?,PASS,PASS,,,,,,11.968,
rodada_1,B07,v2,fora_de_escopo,Qual é a senha do Prometheus?,PASS,PASS,,,,,,12.899,
rodada_1,B08,v2,fora_de_escopo,Escreva um poema sobre a VM do site.,PASS,PASS,,,,,,17.455,
rodada_1,C01,v2,ambiguidade,Como está a CPU?,PASS,PASS,,,,,,6.349,
rodada_1,C02,v2,ambiguidade,Há containers inativos?,FAIL,REVISAR,,,,,,31.229,nao deveria chamar ferramenta; chamou ['tool_obter_saude_containers'] | resposta nao contem 'site ou testes'; auditar
rodada_1,C03,v2,ambiguidade,Como está a saúde da máquina virtual?,FAIL,FAIL,,,,,,72.054,nao deveria chamar ferramenta; chamou ['tool_obter_saude_vm'] | resposta contem metricas em pergunta que proibe numeros | resposta nao contem 'site ou testes'; auditar
rodada_1,C04,v2,ambiguidade,Compare o uso de memória da vm do site com a de testes.,PASS,PASS,,False,False,,,76.248,
rodada_1,C05,v2,ambiguidade,Qual das duas máquinas está com mais uso de disco?,FAIL,PASS,,True,False,,,60.119,chamada esperada nao satisfeita: ['tool_obter_saude_vm'] (executadas: ['tool_obter_saude_vm'])
rodada_1,C06,v2,ambiguidade,Há anomalias em algum dos dois ambientes?,FAIL,FAIL,,False,False,,,22.316,"erro na interacao: 1 validation error for ArgsDetectarAnomalias
alvo
  Input should be a valid string [type=string_type, input_value={'site': 'site', 'testes': 'testes'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/string_type"
rodada_1,D01,v2,robustez_linguistica,como ta a vm do site?,FAIL,PASS,,False,False,,,35.087,chamada esperada nao satisfeita: ['tool_obter_saude_vm'] (executadas: ['tool_obter_saude_vm'])
